Country,Life_satisfaction,GDP_per_capita,Population,Continent
Afghanistan,2.403800011,1970.560181,38928341,Asia
Albania,5.198800087,13191.95215,2877800,Europe
Algeria,5.122300148,10735.38281,43851043,Africa
Andorra,0,77543,77265,Europe
Angola,0,6110.274414,32866267,Africa
Antigua and Barbuda,0,17293.30273,97928, North America
Argentina,5.967000008,19690.66211,45195777,South America
Armenia,5.398600101,12619.89258,2963234,Asia
Australia,7.162099838,48678.68359,25499881,Oceania
Austria,7.163000107,51857.69141,9006400,Europe
Azerbaijan,5.173399925,13726.76953,10139175,Asia
Bahamas,0,30846.58398,393248,North America
Bahrain,6.646900177,41480.57813,1701583,Asia
Bangladesh,5.155499935,4871.446289,164689383,Asia
Barbados,0,12655.40137,287371,North America
Belarus,5.821499825,19186.77539,9449321,Europe
Belgium,6.804999828,48769.72656,11589616,Europe 
Belize,0,6121.843262,397621,North America
Benin,4.62319994,3323.144531,12123198,Africa
Bhutan,0,10551.45215,771612,Asia
Bolivia,5.600299835,7845.170898,11673029,South America
Bosnia and Herzegovina,5.768000126,14509.26563,3280815,Europe
Botswana,3.471100092,14654.65137,2351625,Africa
Brazil,6.29279995,14063.98242,212559409,South America
Brunei,0,62200.88281,437483,Asia
Bulgaria,5.370900154,22379.09375,6948445,Europe
Burkina Faso,4.670499802,2155.769287,20903278,Africa
Burundi,0,731.0632324,11890781,Africa
Cambodia,4.640299797,4191.566406,16718971,Asia
Cameroon,5.047599792,3666.410645,26545864,Africa
Canada,7.025100231,46064.25391,37742157,North America
Cape Verde,0,6045.061035,555988,Africa
Central African Rep.,0,936.2875977,4829764,Africa
Chad,4.250800133,1519.036743,16425859,Africa
Chile,6.171800137,23324.52539,19116209,South America
China,5.585299969,16315.81543,1439323774,Asia
Colombia,5.780600071,13448.93262,50882884,South America
Comoros,4.60860014,2989.17041,869595,Africa
Congo,5.075200081,3433.958984,5518092,Africa
Costa Rica,6.581999779,19903.14063,5094114,North America
Cote d'Ivoire,5.234600067,5181.311035,26378275,Africa
Croatia,6.125199795,27076.97852,4105268,Europe
Cuba,0,12300,11326616,North America
Cyprus,6.220900059,38816.09375,1207361,Europe
Czechia,6.919799805,38511.26953,10708982,Europe
Dem. Rep. Congo,0,1082.44519,89561404,Africa
Denmark,7.636199951,55819.91016,5792203,Europe
Djibouti,0,5481.114746,988002,Africa
Dominica,0,10288.86719,71991,North America
Dominican Republic,5.737199783,17003.01367,10847904,North America
Ecuador,5.533299923,10329.19922,17643060,South America
Egypt,4.287700176,11951.44727,102334403,Africa
El Salvador,6.119999886,7982.625977,6486201,North America
Equatorial Guinea,0,17007.625,1402985,Africa
Eritrea,0,1821,3546427,Africa
Estonia,6.340799809,35257.16016,1326539,Europe
Eswatini,4.396100044,8404.727539,1160164,Africa
Ethiopia,4.241499901,2296.827393,114963583,Africa
Fiji,0,11450.75098,896444,Oceania
Finland,7.821000099,47154.42578,5540718,Europe
France,6.686699867,42320.52344,65273512,Europe
Gabon,4.958300114,14320.84473,2225728,Africa
Gambia,5.163599968,2156.754639,2416664,Africa
Georgia,4.973199844,13966.32617,3989175,Asia
Germany,7.034100056,51423.23438,83783945,Europe
Ghana,4.872000217,5445.725586,31072945,Africa
Greece,5.948200226,27072.61914,10423056,Europe
Greenland,0,0,56772,North America
Grenada,0,14488.53223,112519,North America
Guatemala,6.262199879,8393.28418,17915567,North America
Guinea,4.890500069,2670.823242,13132792,Africa
Guinea-Bissau,0,1847.46582,1967998,Africa
Guyana,0,18679.95508,786559,South America
Haiti,0,2934.24585,11402533,North America
Honduras,6.022099972,5138.385254,9904608,North America
Hungary,6.08589983,31098.39648,9660350,Europe
Iceland,7.557499886,52375.67969,341250,Europe
India,3.777100086,6165.746582,1380004385,Asia
Indonesia,5.239600182,11444.96094,273523621,Asia
Iran,4.887899876,12644.44531,83992953,Asia
Iraq,4.940899849,9012.381836,40222503,Asia
Ireland,7.040800095,90789.21875,4937796,Europe
